File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H	ISO_6393
ar	4.8438	5.0	170	4743	10000	0.4743	11.017120533422643	ara
de	6.2526	5.0	59	3881	10000	0.3881	10.08522357378067	deu
el	5.7321	5.0	91	3760	10000	0.376	9.959753137879932	ell
en	5.1236	4.0	56	3248	10000	0.3248	9.566451755869178	eng
es	4.9718	4.0	60	3030	10000	0.303	9.079441619699884	spa
hi	2.6689	2.0	501	2876	10000	0.2876	9.440176114340415	hin
ro	5.3334	5.0	60	3624	10000	0.3624	9.92573212455282	ron
ru	6.3928	6.0	88	4861	10000	0.4861	10.95313403374275	rus
th	3.1437	3.0	459	2114	10000	0.2114	9.409394506637648	tha
tr	6.6257	6.0	69	4999	10000	0.4999	11.20025092743484	tur
vi	3.5732	3.0	107	1767	10000	0.1767	9.378391737895026	vie
zh	1.6406	2.0	1497	2964	10000	0.2964	10.199940205455864	zho
