File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H	ISO_6393
ar	4.0949	4.0	52	3145	10000	0.3145	9.761776655728148	ara
bg	5.1835	5.0	61	4430	10000	0.443	10.210500760957885	bul
de	5.8797	5.0	75	3978	10000	0.3978	10.149072977481138	deu
el	5.4264	5.0	69	3296	10000	0.3296	9.490425143099412	ell
en	4.7975	4.0	47	3423	10000	0.3423	9.848059354745947	eng
es	4.968	4.0	49	3253	10000	0.3253	9.20140685558358	spa
fr	5.0625	4.0	57	3657	10000	0.3657	9.78730203193608	fra
hi	2.4517	2.0	461	2291	10000	0.2291	9.182196732030208	hin
it	5.1856	5.0	60	3679	10000	0.3679	9.965295150786105	ita
nl	5.3057	4.0	43	2840	10000	0.284	9.304125097678202	nld
pl	5.8256	6.0	46	5413	10000	0.5413	11.034530697622964	pol
pt	4.9271	4.0	60	3617	10000	0.3617	9.774533246305566	por
ru	6.0505	6.0	117	5819	10000	0.5819	11.231705517373252	rus
sw	5.356	5.0	36	1447	10000	0.1447	9.094667363041834	swa
th	2.9182	3.0	462	2123	10000	0.2123	9.32436600848163	tha
tr	6.1225	6.0	38	5431	10000	0.5431	11.41957655673512	tur
ur	3.7235	3.0	70	2367	10000	0.2367	9.334888175853806	urd
vi	4.0392	3.0	101	2452	10000	0.2452	9.683642093480646	vie
zh	1.6184	2.0	1108	1631	10000	0.1631	9.08226040825526	zho
